Name,Base,Patch,Cross Function,Cross Statement,Description
CVE-2018-21000,1,1,3,0,Already crossing statements
CVE-2019-16138,1,1,2,0,Already crossing statements
CVE-2020-35873,1,1,0,0,Already crossing functions
CVE-2020-35881,1,1,0,0,Quite basic, thus cannot be split further
CVE-2020-35886,1,1,1,0,Not related to statements
CVE-2020-35887,1,1,1,1,
CVE-2020-35888,1,1,1,1,
CVE-2020-35898,1,1,1,1,
CVE-2020-35901,1,1,1,1,
CVE-2020-35902,1,1,0,1,
CVE-2020-35907,1,1,1,0,
CVE-2021-25905,1,1,1,1,
CVE-2021-45688,1,1,1,1,
CVE-2022-23639,1,1,1,1,
